localidad	avg_risk_estimate	population	cases	date
Antonio Nariño	0	42933	0	2020-01
Antonio Nariño	9	42933	2	2020-02
Antonio Nariño	0	42933	0	2020-03
Antonio Nariño	0	42933	0	2020-04
Antonio Nariño	3.5	42933	2	2020-05
Antonio Nariño	10	42933	1	2020-06
Antonio Nariño	2	42933	1	2020-07
Antonio Nariño	3.333333333	42933	3	2020-08
Antonio Nariño	4.5	42933	2	2020-09
Antonio Nariño	5	42933	2	2020-10
Antonio Nariño	6	42933	1	2020-11
Antonio Nariño	9	42933	1	2020-12
Antonio Nariño	9	43782	1	2021-01
Antonio Nariño	0	43782	0	2021-02
Antonio Nariño	1	43782	1	2021-03
Antonio Nariño	0	43782	1	2021-04
Antonio Nariño	0	43782	0	2021-05
Antonio Nariño	3	43782	2	2021-06
Antonio Nariño	0	43782	0	2021-07
Antonio Nariño	2.5	43782	2	2021-08
Antonio Nariño	4	43782	2	2021-09
Antonio Nariño	7	43782	4	2021-10
Antonio Nariño	7	43782	3	2021-11
Antonio Nariño	7	43782	1	2021-12
Antonio Nariño	4	44208	1	2022-01
Antonio Nariño	7	44208	1	2022-02
Antonio Nariño	6.333333333	44208	3	2022-03
Antonio Nariño	4.5	44208	2	2022-04
Antonio Nariño	1	44208	1	2022-05
Antonio Nariño	1	44208	1	2022-06
Antonio Nariño	2	44208	1	2022-07
Antonio Nariño	4	44208	2	2022-08
Antonio Nariño	3	44208	1	2022-09
Antonio Nariño	4.5	44208	2	2022-10
Antonio Nariño	5.5	44208	2	2022-11
Antonio Nariño	1	44208	2	2022-12
Barrios Unidos	10	74287	1	2020-01
Barrios Unidos	4.666666667	74287	3	2020-02
Barrios Unidos	0	74287	0	2020-03
Barrios Unidos	0	74287	0	2020-04
Barrios Unidos	8.666666667	74287	3	2020-05
Barrios Unidos	4	74287	3	2020-06
Barrios Unidos	7.5	74287	2	2020-07
Barrios Unidos	9	74287	1	2020-08
Barrios Unidos	7.5	74287	2	2020-09
Barrios Unidos	0	74287	0	2020-10
Barrios Unidos	10	74287	1	2020-11
Barrios Unidos	4.5	74287	2	2020-12
Barrios Unidos	0	75607	0	2021-01
Barrios Unidos	8	75607	3	2021-02
Barrios Unidos	6.285714286	75607	7	2021-03
Barrios Unidos	6.5	75607	2	2021-04
Barrios Unidos	0	75607	0	2021-05
Barrios Unidos	0	75607	0	2021-06
Barrios Unidos	9	75607	1	2021-07
Barrios Unidos	5	75607	3	2021-08
Barrios Unidos	8	75607	1	2021-09
Barrios Unidos	6	75607	3	2021-10
Barrios Unidos	3.8	75607	5	2021-11
Barrios Unidos	5.75	75607	4	2021-12
Barrios Unidos	0	76372	1	2022-01
Barrios Unidos	0	76372	0	2022-02
Barrios Unidos	5.5	76372	2	2022-03
Barrios Unidos	0	76372	0	2022-04
Barrios Unidos	4.666666667	76372	3	2022-05
Barrios Unidos	5.75	76372	4	2022-06
Barrios Unidos	0	76372	0	2022-07
Barrios Unidos	10	76372	2	2022-08
Barrios Unidos	3	76372	1	2022-09
Barrios Unidos	6	76372	3	2022-10
Barrios Unidos	9	76372	1	2022-11
Barrios Unidos	0	76372	1	2022-12
Bosa	9.6	372546	5	2020-01
Bosa	6.75	372546	4	2020-02
Bosa	7.333333333	372546	3	2020-03
Bosa	6.2	372546	10	2020-04
Bosa	5.6	372546	40	2020-05
Bosa	5.8	372546	30	2020-06
Bosa	6.166666667	372546	30	2020-07
Bosa	4.730769231	372546	26	2020-08
Bosa	6.125	372546	16	2020-09
Bosa	6.7	372546	10	2020-10
Bosa	5.222222222	372546	18	2020-11
Bosa	5.666666667	372546	24	2020-12
Bosa	0	371072	0	2021-01
Bosa	0	371072	0	2021-02
Bosa	9	371072	1	2021-03
Bosa	5.619047619	371072	21	2021-04
Bosa	5.75	371072	4	2021-05
Bosa	5.933333333	371072	15	2021-06
Bosa	6.368421053	371072	19	2021-07
Bosa	4.5625	371072	16	2021-08
Bosa	7.052631579	371072	19	2021-09
Bosa	3.8	371072	20	2021-10
Bosa	4.269230769	371072	26	2021-11
Bosa	5.263157895	371072	38	2021-12
Bosa	6	376861	2	2022-01
Bosa	4.588235294	376861	17	2022-02
Bosa	5.928571429	376861	14	2022-03
Bosa	4.5	376861	18	2022-04
Bosa	5.111111111	376861	18	2022-05
Bosa	5.769230769	376861	13	2022-06
Bosa	5.1	376861	20	2022-07
Bosa	5.666666667	376861	15	2022-08
Bosa	6.133333333	376861	15	2022-09
Bosa	5.083333333	376861	24	2022-10
Bosa	8.125	376861	16	2022-11
Bosa	4.285714286	376861	14	2022-12
Chapinero	8	88350	1	2020-01
Chapinero	6	88350	1	2020-02
Chapinero	1	88350	1	2020-03
Chapinero	6	88350	2	2020-04
Chapinero	6.5	88350	2	2020-05
Chapinero	4	88350	1	2020-06
Chapinero	7.333333333	88350	3	2020-07
Chapinero	9	88350	1	2020-08
Chapinero	0	88350	0	2020-09
Chapinero	9	88350	1	2020-10
Chapinero	5.5	88350	2	2020-11
Chapinero	4	88350	1	2020-12
Chapinero	0	90360	0	2021-01
Chapinero	4.866666667	90360	15	2021-02
Chapinero	5.777777778	90360	9	2021-03
Chapinero	5	90360	2	2021-04
Chapinero	0	90360	0	2021-05
Chapinero	3	90360	1	2021-06
Chapinero	4.75	90360	4	2021-07
Chapinero	6.5	90360	6	2021-08
Chapinero	3	90360	1	2021-09
Chapinero	4	90360	2	2021-10
Chapinero	9	90360	1	2021-11
Chapinero	3	90360	2	2021-12
Chapinero	0	90360	0	2022-01
Chapinero	7	91692	1	2022-02
Chapinero	3	91692	1	2022-03
Chapinero	6	91692	3	2022-04
Chapinero	3	91692	1	2022-05
Chapinero	6.5	91692	2	2022-06
Chapinero	4.2	91692	5	2022-07
Chapinero	2.5	91692	2	2022-08
Chapinero	4	91692	1	2022-09
Chapinero	0	91692	0	2022-10
Chapinero	5	91692	1	2022-11
Chapinero	4.833333333	91692	6	2022-12
Ciudad Bolívar	5.833333333	324781	6	2020-01
Ciudad Bolívar	8.125	324781	8	2020-02
Ciudad Bolívar	9	324781	1	2020-03
Ciudad Bolívar	7.142857143	324781	7	2020-04
Ciudad Bolívar	5.161290323	324781	31	2020-05
Ciudad Bolívar	6.413793103	324781	29	2020-06
Ciudad Bolívar	6.666666667	324781	33	2020-07
Ciudad Bolívar	6.115384615	324781	26	2020-08
Ciudad Bolívar	6.117647059	324781	17	2020-09
Ciudad Bolívar	6	324781	6	2020-10
Ciudad Bolívar	5.4	324781	20	2020-11
Ciudad Bolívar	5.677419355	324781	31	2020-12
Ciudad Bolívar	0	328131	0	2021-01
Ciudad Bolívar	4.666666667	328131	3	2021-02
Ciudad Bolívar	5	328131	5	2021-03
Ciudad Bolívar	6.48	328131	25	2021-04
Ciudad Bolívar	4.888888889	328131	9	2021-05
Ciudad Bolívar	6.866666667	328131	15	2021-06
Ciudad Bolívar	6.875	328131	8	2021-07
Ciudad Bolívar	4.92	328131	25	2021-08
Ciudad Bolívar	7	328131	14	2021-09
Ciudad Bolívar	7.105263158	328131	19	2021-10
Ciudad Bolívar	6.347826087	328131	23	2021-11
Ciudad Bolívar	6.133333333	328131	15	2021-12
Ciudad Bolívar	7	329981	1	2022-01
Ciudad Bolívar	6.411764706	329981	17	2022-02
Ciudad Bolívar	5.666666667	329981	15	2022-03
Ciudad Bolívar	6.8	329981	10	2022-04
Ciudad Bolívar	5.666666667	329981	15	2022-05
Ciudad Bolívar	6.75	329981	16	2022-06
Ciudad Bolívar	5.941176471	329981	17	2022-07
Ciudad Bolívar	6.15	329981	20	2022-08
Ciudad Bolívar	7.2	329981	15	2022-09
Ciudad Bolívar	5.291666667	329981	24	2022-10
Ciudad Bolívar	7.533333333	329981	15	2022-11
Ciudad Bolívar	6.571428571	329981	14	2022-12
Engativá	6.333333333	427365	3	2020-01
Engativá	6.75	427365	4	2020-02
Engativá	3.5	427365	4	2020-03
Engativá	5.75	427365	4	2020-04
Engativá	5.714285714	427365	7	2020-05
Engativá	5.5	427365	12	2020-06
Engativá	5.071428571	427365	14	2020-07
Engativá	4.230769231	427365	13	2020-08
Engativá	4.818181818	427365	11	2020-09
Engativá	5.285714286	427365	7	2020-10
Engativá	6.375	427365	16	2020-11
Engativá	5.857142857	427365	14	2020-12
Engativá	0	428725	0	2021-01
Engativá	6.4	428725	5	2021-02
Engativá	0	428725	0	2021-03
Engativá	8	428725	9	2021-04
Engativá	4.125	428725	8	2021-05
Engativá	5.285714286	428725	14	2021-06
Engativá	4.285714286	428725	7	2021-07
Engativá	5.2	428725	10	2021-08
Engativá	3.818181818	428725	11	2021-09
Engativá	5.055555556	428725	18	2021-10
Engativá	8	428725	6	2021-11
Engativá	6.125	428725	16	2021-12
Engativá	0	428880	0	2022-01
Engativá	5.888888889	428880	9	2022-02
Engativá	4.875	428880	16	2022-03
Engativá	3.458333333	428880	24	2022-04
Engativá	5.681818182	428880	22	2022-05
Engativá	4.222222222	428880	18	2022-06
Engativá	3.631578947	428880	19	2022-07
Engativá	3.733333333	428880	15	2022-08
Engativá	5.769230769	428880	13	2022-09
Engativá	4	428880	11	2022-10
Engativá	4.523809524	428880	21	2022-11
Engativá	5.083333333	428880	12	2022-12
Fontibón	0	204677	0	2020-01
Fontibón	4	204677	1	2020-02
Fontibón	7.5	204677	2	2020-03
Fontibón	5.666666667	204677	3	2020-04
Fontibón	8	204677	3	2020-05
Fontibón	7.5	204677	6	2020-06
Fontibón	7	204677	3	2020-07
Fontibón	8.5	204677	4	2020-08
Fontibón	3.666666667	204677	3	2020-09
Fontibón	5.666666667	204677	3	2020-10
Fontibón	10	204677	1	2020-11
Fontibón	5.25	204677	4	2020-12
Fontibón	0	209075	0	2021-01
Fontibón	6.625	209075	8	2021-02
Fontibón	4.555555556	209075	9	2021-03
Fontibón	4	209075	6	2021-04
Fontibón	4.666666667	209075	3	2021-05
Fontibón	1	209075	3	2021-06
Fontibón	1	209075	2	2021-07
Fontibón	7.75	209075	4	2021-08
Fontibón	7	209075	3	2021-09
Fontibón	4	209075	5	2021-10
Fontibón	5.166666667	209075	6	2021-11
Fontibón	6.4	209075	5	2021-12
Fontibón	0	212331	0	2022-01
Fontibón	7.6	212331	5	2022-02
Fontibón	5.75	212331	4	2022-03
Fontibón	5.4	212331	5	2022-04
Fontibón	6.777777778	212331	9	2022-05
Fontibón	8	212331	3	2022-06
Fontibón	5	212331	7	2022-07
Fontibón	9.6	212331	5	2022-08
Fontibón	5.333333333	212331	3	2022-09
Fontibón	6.5	212331	6	2022-10
Fontibón	6.6	212331	10	2022-11
Fontibón	8.571428571	212331	7	2022-12
Kennedy	6.75	535933	8	2020-01
Kennedy	5.285714286	535933	7	2020-02
Kennedy	7	535933	3	2020-03
Kennedy	4.923076923	535933	13	2020-04
Kennedy	6.333333333	535933	18	2020-05
Kennedy	5.357142857	535933	28	2020-06
Kennedy	4.875	535933	16	2020-07
Kennedy	6	535933	15	2020-08
Kennedy	6.833333333	535933	12	2020-09
Kennedy	6.5625	535933	16	2020-10
Kennedy	7	535933	15	2020-11
Kennedy	6	535933	13	2020-12
Kennedy	0	535285	0	2021-01
Kennedy	0	535285	0	2021-02
Kennedy	0	535285	0	2021-03
Kennedy	7.142857143	535285	14	2021-04
Kennedy	5.842105263	535285	19	2021-05
Kennedy	6.681818182	535285	22	2021-06
Kennedy	6.222222222	535285	18	2021-07
Kennedy	5.782608696	535285	23	2021-08
Kennedy	7	535285	11	2021-09
Kennedy	6.076923077	535285	13	2021-10
Kennedy	4.652173913	535285	23	2021-11
Kennedy	5.375	535285	16	2021-12
Kennedy	0	533778	0	2022-01
Kennedy	5.3125	533778	16	2022-02
Kennedy	6.9	533778	10	2022-03
Kennedy	5.125	533778	16	2022-04
Kennedy	5.714285714	533778	14	2022-05
Kennedy	5.125	533778	32	2022-06
Kennedy	4.6875	533778	16	2022-07
Kennedy	6.2	533778	20	2022-08
Kennedy	6.882352941	533778	17	2022-09
Kennedy	5.941176471	533778	17	2022-10
Kennedy	5.785714286	533778	28	2022-11
Kennedy	6.1	533778	20	2022-12
La Candelaria	10	8457	1	2020-01
La Candelaria	9	8457	1	2020-02
La Candelaria	0	8457	0	2020-03
La Candelaria	0	8457	0	2020-04
La Candelaria	0	8457	0	2020-05
La Candelaria	0	8457	0	2020-06
La Candelaria	3.333333333	8457	3	2020-07
La Candelaria	6	8457	1	2020-08
La Candelaria	0	8457	0	2020-09
La Candelaria	0	8457	0	2020-10
La Candelaria	2.333333333	8457	3	2020-11
La Candelaria	4	8457	1	2020-12
La Candelaria	0	8654	0	2021-01
La Candelaria	1	8654	1	2021-02
La Candelaria	10	8654	1	2021-03
La Candelaria	0	8654	0	2021-04
La Candelaria	0	8654	0	2021-05
La Candelaria	0	8654	0	2021-06
La Candelaria	4	8654	1	2021-07
La Candelaria	0	8654	0	2021-08
La Candelaria	0	8654	0	2021-09
La Candelaria	0	8654	0	2021-10
La Candelaria	0	8654	0	2021-11
La Candelaria	3	8654	1	2021-12
La Candelaria	0	8851	0	2022-01
La Candelaria	4.666666667	8851	3	2022-02
La Candelaria	0	8851	0	2022-03
La Candelaria	0	8851	0	2022-04
La Candelaria	9	8851	1	2022-05
La Candelaria	3.5	8851	2	2022-06
La Candelaria	4	8851	3	2022-07
La Candelaria	9.5	8851	2	2022-08
La Candelaria	9	8851	1	2022-09
La Candelaria	6	8851	2	2022-10
La Candelaria	5.666666667	8851	3	2022-11
La Candelaria	4	8851	1	2022-12
Los Mártires	2	45809	1	2020-01
Los Mártires	10	45809	1	2020-02
Los Mártires	9	45809	2	2020-03
Los Mártires	5.25	45809	4	2020-04
Los Mártires	7.2	45809	5	2020-05
Los Mártires	10	45809	1	2020-06
Los Mártires	5.75	45809	4	2020-07
Los Mártires	6.333333333	45809	6	2020-08
Los Mártires	5	45809	1	2020-09
Los Mártires	0	45809	0	2020-10
Los Mártires	6.75	45809	4	2020-11
Los Mártires	7	45809	3	2020-12
Los Mártires	0	47063	0	2021-01
Los Mártires	1	47063	1	2021-02
Los Mártires	9.5	47063	2	2021-03
Los Mártires	0	47063	0	2021-04
Los Mártires	0	47063	0	2021-05
Los Mártires	10	47063	1	2021-06
Los Mártires	6	47063	2	2021-07
Los Mártires	9	47063	1	2021-08
Los Mártires	6.333333333	47063	3	2021-09
Los Mártires	5.857142857	47063	7	2021-10
Los Mártires	6	47063	5	2021-11
Los Mártires	8.333333333	47063	6	2021-12
Los Mártires	0	47690	0	2022-01
Los Mártires	6.5	47690	2	2022-02
Los Mártires	1	47690	1	2022-03
Los Mártires	5	47690	4	2022-04
Los Mártires	5.5	47690	2	2022-05
Los Mártires	2.5	47690	2	2022-06
Los Mártires	3.5	47690	4	2022-07
Los Mártires	4	47690	3	2022-08
Los Mártires	9.5	47690	2	2022-09
